Type,Name,URL,CRC,Size
FILE,HBMAME 0.245.10 ROMs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 ROMs (merged).xml,901724632,2849457
FILE,HBMAME 0.245.10 Rollback CHDs.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 Rollback CHDs.xml,1529043609,1320
FILE,HBMAME 0.245.10 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 CHDs (merged).xml,2481087903,594
FILE,HBMAME 0.245.10 CHDs (merged) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 CHDs (merged) (dir2dat).dat,1916227695,821
FILE,HBMAME 0.245.10 ROMs (bios-devices).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 ROMs (bios-devices).xml,491386560,25317
FILE,HBMAME 0.245.10 Rollback ROMs.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 Rollback ROMs.dat,4018605463,2535913
FILE,HBMAME - Update ROMs (v0.245.9 to v0.245.10).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME - Update ROMs (v0.245.9 to v0.245.10).xml,2656341488,12792
FILE,HBMAME 0.245.10 Rollback CHDs (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/HBMAME/HBMAME 0.245.10 Rollback CHDs (dir2dat).dat,3613849563,1716
DIRECTORY,MAME,,,
DIRECTORY,MAME 0.252 EXTRAs,,,
FILE,artwork.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 EXTRAs/artwork.dat,1522701487,1396438
FILE,all_non-zipped_content.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 EXTRAs/all_non-zipped_content.dat,1068965702,31940884
FILE,samples.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 EXTRAs/samples.dat,596222891,63846
DIRECTORY,MAME - Update Software List ROMs (v0.251 to v0.252),,,
FILE,msx2_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/msx2_cart.xml,4205118242,1875
FILE,svi318_cass.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/svi318_cass.xml,2360583428,593
FILE,misterx.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/misterx.xml,1240318192,582
FILE,ggm.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/ggm.xml,1643974051,1726
FILE,amiga_workbench.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/amiga_workbench.xml,1428936509,2935
FILE,ibm5150.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/ibm5150.xml,1110615278,6130
