Type,Name,URL,CRC,Size
DIRECTORY,[DSK],,,
DIRECTORY,NCR Decision Mate V - Games - [DSK],,,
FILE,NCR Decision Mate V - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/NCR/Decision Mate V/Games/[DSK]/NCR Decision Mate V - Games - [DSK]/NCR Decision Mate V - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,2452325461,1180
DIRECTORY,Motorola,,,
DIRECTORY,EXORciser,,,
DIRECTORY,System,,,
DIRECTORY,Motorola EXORciser - System,,,
FILE,Motorola EXORciser - System (TOSEC-v2017-04-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Motorola/EXORciser/System/Motorola EXORciser - System/Motorola EXORciser - System (TOSEC-v2017-04-05_CM).dat,1005702811,3609
DIRECTORY,Various,,,
DIRECTORY,Motorola EXORciser - Various,,,
FILE,Motorola EXORciser - Various (TOSEC-v2017-04-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Motorola/EXORciser/Various/Motorola EXORciser - Various/Motorola EXORciser - Various (TOSEC-v2017-04-05_CM).dat,1058327498,1366
DIRECTORY,Utilities,,,
DIRECTORY,Motorola EXORciser - Utilities,,,
FILE,Motorola EXORciser - Utilities (TOSEC-v2017-04-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Motorola/EXORciser/Utilities/Motorola EXORciser - Utilities/Motorola EXORciser - Utilities (TOSEC-v2017-04-05_CM).dat,2667372897,4363
DIRECTORY,Matra Hachette,,,
DIRECTORY,Alice 90,,,
DIRECTORY,Applications,,,
DIRECTORY,Matra Hachette Alice 90 - Applications,,,
